claim,value,unit,currency,geography,segment,period,period_type,value_basis,source_name,url,date_accessed,confidence,notes
IN skincare retail_price,2750.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/isntree-hyaluronic-acid-water-essence/p/7828322?productId=7828322&pps=12,2026-08-09,HIGH,[PREMIUM-SKIN] Isntree Hyaluronic Acid Water Essence - Nykaa. LIST Rs2750 (=US$28.58 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2475 on 2026-08-09 (10.0% off list). Brand group: korean (Isntree). Format: toner_essence. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2700.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/eucerin-anti-pigment-face-illuminating-serum-with-thiamidol-hyaluronic-acid-reduces-dark-spots/p/18127771?productId=18127771&pps=13,2026-08-09,HIGH,[PREMIUM-SKIN] Eucerin Anti Pigment Face Illuminating Serum With Thiamidol Hyaluronic Acid Reduces Dark Spots - Nykaa. LIST Rs2700 (=US$28.06 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2295 on 2026-08-09 (15.0% off list). Brand group: other_observed. Format: serum_pigmentation_brightening. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2700.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/tirtir-sos-serum/p/17715063?productId=17715063&pps=11,2026-08-09,HIGH,[PREMIUM-SKIN] TIRTIR SOS Serum - Nykaa. LIST Rs2700 (=US$28.06 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2430 on 2026-08-09 (10.0% off list). Brand group: korean (TirTir). Format: serum_other. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2699.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/cetaphil-optimal-healthy-renew-facial-serum/p/25018647?productId=25018647&pps=9,2026-08-09,HIGH,[PREMIUM-SKIN] Cetaphil Healthy Renew Facial Serum - Nykaa. LIST Rs2699 (=US$28.05 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2375 on 2026-08-09 (12.0% off list). Brand group: other_foreign (Cetaphil). Format: serum_other. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2699.0,inr,INR,IN,skincare,2026,CY,MRP,Tira product listing,https://www.tirabeauty.com/product/cetaphil-optimal-healthy-renew-facial-serum-30-g-8956135,2026-08-09,HIGH,[PREMIUM-SKIN] Cetaphil Optimal Healthy Renew Facial Serum (30 g) - Tira. LIST Rs2699 (=US$28.05 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2429 on 2026-08-09 (10.0% off list). Brand group: other_foreign (Cetaphil). Format: serum_other. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2699.0,inr,INR,IN,skincare,2026,CY,MRP,Tira product listing,https://www.tirabeauty.com/product/mixsoon-bean-essence-30-ml-7603138,2026-08-09,HIGH,[PREMIUM-SKIN] Mixsoon Bean Essence (30 ml) - Tira. LIST Rs2699 (=US$28.05 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2294 on 2026-08-09 (15.0% off list). Brand group: korean (Mixsoon). Format: toner_essence. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2699.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/round-lab-1025-dokdo-ampule/p/19410622?productId=19410622&pps=58,2026-08-09,HIGH,[PREMIUM-SKIN] Round Lab 1025 Dokdo Ampule - Nykaa. LIST Rs2699 (=US$28.05 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2159 on 2026-08-09 (20.0% off list). Brand group: other_observed. Format: other. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2650.0,inr,INR,IN,skincare,2026,CY,MRP,Tira product listing,https://www.tirabeauty.com/product/anua-heartleaf-70-intense-calming-cream-50-ml-15352780,2026-08-09,HIGH,[PREMIUM-SKIN] Anua Heartleaf 70 Intense Calming Cream (50 ml) - Tira. LIST Rs2650 (=US$27.54 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2385 on 2026-08-09 (10.0% off list). Brand group: korean (Anua). Format: moisturiser. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2650.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/clinique-liquid-facial-soap-mild-dry-combination-facewash/p/5332750?productId=5332750&pps=10,2026-08-09,HIGH,[PREMIUM-SKIN] Clinique Liquid Facial Soap Mild - Dry Combination Facewash - Nykaa. LIST Rs2650 (=US$27.54 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2650 on 2026-08-09 (0.0% off list). Brand group: other_foreign (Clinique). Format: cleanser. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2650.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/clinique-liquid-facial-soap-oily-skin-combination-oily-to-oily-facewash/p/5332751?productId=5332751&pps=16,2026-08-09,HIGH,[PREMIUM-SKIN] Clinique Liquid Facial Soap Oily Skin Combination Oily To Oily Facewash - Nykaa. LIST Rs2650 (=US$27.54 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2650 on 2026-08-09 (0.0% off list). Brand group: other_foreign (Clinique). Format: cleanser. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2650.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/forest-essentials-advanced-soundarya-age-defying-facial-serum-with-24k-gold/p/1010795?productId=1010795&pps=19,2026-08-09,HIGH,[PREMIUM-SKIN] Forest Essentials Advanced Soundarya Age Defying Facial Serum With 24k Gold - Nykaa. LIST Rs2650 (=US$27.54 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2650 on 2026-08-09 (0.0% off list). Brand group: homegrown (Forest Essentials). Format: serum_other. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2650.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/innisfree-vitamin-c-enzyme-brightening-serum/p/12452460?productId=12452460&skuId=12452458&pps=10,2026-08-09,HIGH,[PREMIUM-SKIN] Innisfree Vitamin C Enzyme Brightening Serum - Nykaa. LIST Rs2650 (=US$27.54 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2385 on 2026-08-09 (10.0% off list). Brand group: korean (Innisfree). Format: serum_pigmentation_brightening. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2600.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/cosrx-the-retinol-0-3-cream/p/16312343?productId=16312343&pps=18,2026-08-09,HIGH,[PREMIUM-SKIN] COSRX The Retinol 0.3 Cream - Nykaa. LIST Rs2600 (=US$27.02 at 96.23 INR/USD pinned 2026-07-21); STREET Rs1820 on 2026-08-09 (30.0% off list). Brand group: korean (COSRX). Format: moisturiser. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2600.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/dr-jart-ceramidin-skin-barrier-moisturizing-milky-lotion/p/16303683?productId=16303683&pps=14,2026-08-09,HIGH,[PREMIUM-SKIN] Dr Jart Ceramidin Skin Barrier Moisturizing Milky Lotion - Nykaa. LIST Rs2600 (=US$27.02 at 96.23 INR/USD pinned 2026-07-21); STREET Rs1040 on 2026-08-09 (60.0% off list). Brand group: korean (Dr.Jart+). Format: moisturiser. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2600.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/innisfree-retinol-green-tea-pdrn-skinbooster-ampoule/p/20648703?productId=20648703&pps=14,2026-08-09,HIGH,[PREMIUM-SKIN] Innisfree Retinol Green Tea Pdrn Skinbooster Ampoule - Nykaa. LIST Rs2600 (=US$27.02 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2340 on 2026-08-09 (10.0% off list). Brand group: korean (Innisfree). Format: serum_other. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2600.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/kiehl-s-ultra-facial-cleanser/p/27616?productId=27616&pps=4,2026-08-09,HIGH,[PREMIUM-SKIN] Kiehl's Ultra Facial Cleanser - Gentle and Non-Stripping With Squalane - Nykaa. LIST Rs2600 (=US$27.02 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2210 on 2026-08-09 (15.0% off list). Brand group: other_foreign (Kiehl's). Format: cleanser. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2600.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/medicube-collagen-night-wrapping-mask/p/25327568?productId=25327568&pps=1,2026-08-09,HIGH,[PREMIUM-SKIN] Medicube Collagen Night Wrapping Mask - Nykaa. LIST Rs2600 (=US$27.02 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2210 on 2026-08-09 (15.0% off list). Brand group: korean (Medicube). Format: mask_exfoliant. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2600.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/medicube-pdrn-pink-hyaluronic-moisturizing-cream/p/25327577?productId=25327577&pps=20,2026-08-09,HIGH,[PREMIUM-SKIN] Medicube PDRN Pink Hyaluronic Moisturizing Cream - Nykaa. LIST Rs2600 (=US$27.02 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2210 on 2026-08-09 (15.0% off list). Brand group: korean (Medicube). Format: moisturiser. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2600.0,inr,INR,IN,skincare,2026,CY,MRP,Tira product listing,https://www.tirabeauty.com/product/medicube-collagen-night-wrapping-mask-75-ml-8845769,2026-08-09,HIGH,[PREMIUM-SKIN] medicube Collagen Night Wrapping Mask (75 ml) - Tira. LIST Rs2600 (=US$27.02 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2470 on 2026-08-09 (5.0% off list). Brand group: korean (Medicube). Format: mask_exfoliant. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2500.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/albizzia-brightening-correcting-face-serum-vitamin-c-glow-face-serum/p/17970346?productId=17970346&pps=47,2026-08-09,HIGH,[PREMIUM-SKIN] ALBIZZIA Brightening & Correcting Face Serum - Nykaa. LIST Rs2500 (=US$25.98 at 96.23 INR/USD pinned 2026-07-21); STREET Rs799 on 2026-08-09 (68.0% off list). Brand group: other_observed. Format: serum_pigmentation_brightening. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2500.0,inr,INR,IN,skincare,2026,CY,MRP,Tira product listing,https://www.tirabeauty.com/product/anua-heartleaf-80-moisture-soothing-ampoule-30-ml-15352796,2026-08-09,HIGH,[PREMIUM-SKIN] Anua Heartleaf 80 Moisture Soothing Ampoule (30 ml) - Tira. LIST Rs2500 (=US$25.98 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2250 on 2026-08-09 (10.0% off list). Brand group: korean (Anua). Format: serum_other. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2500.0,inr,INR,IN,skincare,2026,CY,MRP,Tira product listing,https://www.tirabeauty.com/product/dr-jart-ceramidin-skin-barrier-moisturizing-eye-cream-15-ml-7617600,2026-08-09,HIGH,[PREMIUM-SKIN] Dr.Jart+ Ceramidin Skin Barrier Moisturizing Eye Cream (15 ml) - Tira. LIST Rs2500 (=US$25.98 at 96.23 INR/USD pinned 2026-07-21); STREET Rs1000 on 2026-08-09 (60.0% off list). Brand group: korean (Dr.Jart+). Format: eye_lip. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2500.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/kiehl-s-ultra-facial-barrier-cleanser/p/25417930?productId=25417930&pps=20,2026-08-09,HIGH,[PREMIUM-SKIN] Kiehl's Ultra Facial Barrier Cleanser - Nykaa. LIST Rs2500 (=US$25.98 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2125 on 2026-08-09 (15.0% off list). Brand group: other_foreign (Kiehl's). Format: cleanser. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2500.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/medicube-deep-vita-c-pad-with-70pcs/p/25327560?productId=25327560&pps=12,2026-08-09,HIGH,[PREMIUM-SKIN] Medicube Deep Vita C Pad - Nykaa. LIST Rs2500 (=US$25.98 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2125 on 2026-08-09 (15.0% off list). Brand group: korean (Medicube). Format: mask_exfoliant. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2500.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/medicube-glutathione-glow-serum/p/25327586?productId=25327586&pps=14,2026-08-09,HIGH,[PREMIUM-SKIN] Medicube Glutathione Glow Serum - Nykaa. LIST Rs2500 (=US$25.98 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2125 on 2026-08-09 (15.0% off list). Brand group: korean (Medicube). Format: serum_pigmentation_brightening. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2500.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/medicube-triple-collagen-serum-4-0/p/25327566?productId=25327566&pps=6,2026-08-09,HIGH,[PREMIUM-SKIN] Medicube Triple Collagen Serum 4.0 - Nykaa. LIST Rs2500 (=US$25.98 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2125 on 2026-08-09 (15.0% off list). Brand group: korean (Medicube). Format: serum_other. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2499.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/mixsoon-bean-hydrogel-eye-patch-brightening-hydrating-eye-care/p/20681570?productId=20681570&pps=8,2026-08-09,HIGH,[PREMIUM-SKIN] Mixsoon Bean Hydrogel Eye Patch Brightening Hydrating Eye Care - Nykaa. LIST Rs2499 (=US$25.97 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2124 on 2026-08-09 (15.0% off list). Brand group: korean (Mixsoon). Format: eye_lip. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2499.0,inr,INR,IN,skincare,2026,CY,MRP,Tira product listing,https://www.tirabeauty.com/product/mixsoon-collagen-hydrogel-eye-patch-7723354,2026-08-09,HIGH,[PREMIUM-SKIN] Mixsoon Collagen Hydrogel Eye Patch - Tira. LIST Rs2499 (=US$25.97 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2124 on 2026-08-09 (15.0% off list). Brand group: korean (Mixsoon). Format: eye_lip. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2499.0,inr,INR,IN,skincare,2026,CY,MRP,Tira product listing,https://www.tirabeauty.com/product/mixsoon-glacier-water-hyaluronic-acid-serum-300-ml-7603144,2026-08-09,HIGH,[PREMIUM-SKIN] Mixsoon Glacier Water Hyaluronic Acid Serum (300 ml) - Tira. LIST Rs2499 (=US$25.97 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2124 on 2026-08-09 (15.0% off list). Brand group: korean (Mixsoon). Format: serum_other. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2499.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/mixsoon-korean-glacier-water-hyaluronic-acid-serum/p/20681560?productId=20681560&pps=2,2026-08-09,HIGH,"[PREMIUM-SKIN] Mixsoon Glacier Water Hyaluronic Acid Serum, Deep Hydration, Plumps Skin & Locks Moisture - Nykaa. LIST Rs2499 (=US$25.97 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2124 on 2026-08-09 (15.0% off list). Brand group: korean (Mixsoon). Format: serum_other. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation."
IN skincare retail_price,2499.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/wildglow-brightening-serum/p/23903239?productId=23903239&pps=34,2026-08-09,HIGH,[PREMIUM-SKIN] WILDGLOW Brightening Serum - Nykaa. LIST Rs2499 (=US$25.97 at 96.23 INR/USD pinned 2026-07-21); STREET Rs1874 on 2026-08-09 (25.0% off list). Brand group: other_observed. Format: serum_pigmentation_brightening. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2490.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/bioheal-probioderm-3d-lifting-ampoule/p/23633449?productId=23633449&pps=36,2026-08-09,HIGH,[PREMIUM-SKIN] Bioheal Probioderm 3d Lifting Ampoule - Nykaa. LIST Rs2490 (=US$25.88 at 96.23 INR/USD pinned 2026-07-21); STREET Rs1992 on 2026-08-09 (20.0% off list). Brand group: other_observed. Format: serum_other. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2490.0,inr,INR,IN,skincare,2026,CY,MRP,Tira product listing,https://www.tirabeauty.com/product/ras-luxury-skincare-anti-aging-and-retexturizing-advanced-booster-serum-30-ml-7596029,2026-08-09,HIGH,[PREMIUM-SKIN] Ras Luxury Skincare Anti-Aging and Retexturizing Advanced Booster Serum (30 ml) - Tira. LIST Rs2490 (=US$25.88 at 96.23 INR/USD pinned 2026-07-21); STREET Rs1743 on 2026-08-09 (30.0% off list). Brand group: other_observed. Format: serum_other. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2480.0,inr,INR,IN,skincare,2026,CY,MRP,Tira product listing,https://www.tirabeauty.com/product/laneige-cream-skin-cerapeptide-refiner-ad-170-ml-7602285,2026-08-09,HIGH,[PREMIUM-SKIN] Laneige Cream Skin Cerapeptide Refiner AD (170 ml) - Tira. LIST Rs2480 (=US$25.77 at 96.23 INR/USD pinned 2026-07-21); STREET Rs1984 on 2026-08-09 (20.0% off list). Brand group: korean (Laneige). Format: moisturiser. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2450.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/aminu-skin-perfecting-serum-for-acne-scars-pores-minimizing/p/5033338?productId=5033338&pps=43,2026-08-09,HIGH,"[PREMIUM-SKIN] Aminu Skin Perfecting Serum - Pores, Acne Marks, Smoothes Texture - Willow Bark, PAD Epigenetic Tech - Nykaa. LIST Rs2450 (=US$25.46 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2450 on 2026-08-09 (0.0% off list). Brand group: other_observed. Format: serum_other. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation."
IN skincare retail_price,2450.0,inr,INR,IN,skincare,2026,CY,MRP,Tira product listing,https://www.tirabeauty.com/product/dr-melaxin-peel-shot-exfoliating-black-rice-ampoule-reduces-blackheads-clogged-pores-80-ml-14322257,2026-08-09,HIGH,[PREMIUM-SKIN] Dr.Melaxin Peel Shot Exfoliating Black Rice Ampoule Reduces Blackheads & Clogged Pores (80 ml) - Tira. LIST Rs2450 (=US$25.46 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2205 on 2026-08-09 (10.0% off list). Brand group: korean (Dr. Melaxin). Format: serum_other. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2450.0,inr,INR,IN,skincare,2026,CY,MRP,Tira product listing,https://www.tirabeauty.com/product/dr-melaxin-peel-shot-exfoliating-white-rice-ampoule-reduces-whiteheads-pores-in-1-use-80-ml-14322256,2026-08-09,HIGH,[PREMIUM-SKIN] Dr.Melaxin Peel Shot Exfoliating White Rice Ampoule Reduces Whiteheads & Pores in 1 Use (80 ml) - Tira. LIST Rs2450 (=US$25.46 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2205 on 2026-08-09 (10.0% off list). Brand group: korean (Dr. Melaxin). Format: serum_other. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2450.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/paula-s-choice-resist-advanced-replenishing-toner/p/20193215?productId=20193215&pps=13,2026-08-09,HIGH,[PREMIUM-SKIN] Paula's Choice Resist Advanced Replenishing Toner - Nykaa. LIST Rs2450 (=US$25.46 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2450 on 2026-08-09 (0.0% off list). Brand group: other_foreign (Paula's Choice). Format: toner_essence. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2400.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/axis-y-biome-radiating-intensified-essence/p/18188464?productId=18188464&pps=55,2026-08-09,HIGH,[PREMIUM-SKIN] AXIS-Y Biome Radiating Intensified Essence - Nykaa. LIST Rs2400 (=US$24.94 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2160 on 2026-08-09 (10.0% off list). Brand group: other_observed. Format: toner_essence. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2400.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/gunam-active-brightening-complex-azelaic-tranexamic-acid-serum/p/27224570?productId=27224570&pps=30,2026-08-09,HIGH,[PREMIUM-SKIN] Gunam Active Brightening Complex Azelaic Tranexamic Acid Serum - Nykaa. LIST Rs2400 (=US$24.94 at 96.23 INR/USD pinned 2026-07-21); STREET Rs1920 on 2026-08-09 (20.0% off list). Brand group: other_observed. Format: serum_pigmentation_brightening. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2400.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/medicube-pdrn-pink-collagen-toning-gel-toner-pad-with-70pcs/p/25327581?productId=25327581&pps=15,2026-08-09,HIGH,[PREMIUM-SKIN] Medicube PDRN Pink Collagen Toning Gel Toner Pad - Nykaa. LIST Rs2400 (=US$24.94 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2040 on 2026-08-09 (15.0% off list). Brand group: korean (Medicube). Format: toner_essence. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2399.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/celimax-the-real-noni-energy-ampoule/p/14758287?productId=14758287&pps=21,2026-08-09,HIGH,"[PREMIUM-SKIN] Celimax The Real Noni Energy Ampoule, Calming, Hydrating & Glow Boosting Face Serum - Nykaa. LIST Rs2399 (=US$24.93 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2039 on 2026-08-09 (15.0% off list). Brand group: other_observed. Format: serum_pigmentation_brightening. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation."
IN skincare retail_price,2399.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/celimax-the-vita-a-retinol-shot-tightening-korean-serum/p/19437762?productId=19437762&pps=46,2026-08-09,HIGH,[PREMIUM-SKIN] Celimax The Vita A Retinol Shot Tightening Korean Serum - Nykaa. LIST Rs2399 (=US$24.93 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2279 on 2026-08-09 (5.0% off list). Brand group: other_observed. Format: serum_other. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2350.0,inr,INR,IN,skincare,2026,CY,MRP,Tira product listing,https://www.tirabeauty.com/product/anua-pdrn-hyaluronic-acid-100-moisture-cream-60-ml-15352787,2026-08-09,HIGH,[PREMIUM-SKIN] Anua PDRN Hyaluronic Acid 100 Moisture Cream (60 ml) - Tira. LIST Rs2350 (=US$24.42 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2115 on 2026-08-09 (10.0% off list). Brand group: korean (Anua). Format: moisturiser. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
IN skincare retail_price,2350.0,inr,INR,IN,skincare,2026,CY,MRP,Nykaa product listing,https://www.nykaa.com/anua-pdrn-hyaluronic-acid-100-moisturizing-cream/p/25047828?productId=25047828&pps=2,2026-08-09,HIGH,[PREMIUM-SKIN] Anua PDRN Hyaluronic Acid 100 Moisturizing Cream - Nykaa. LIST Rs2350 (=US$24.42 at 96.23 INR/USD pinned 2026-07-21); STREET Rs2115 on 2026-08-09 (10.0% off list). Brand group: korean (Anua). Format: moisturiser. ORGANISED online retail. MRP embeds 25-45% trade margin (CLAUDE.md rule 10) - normalise before reconciling against net realisation.
